,Unnamed: 0,ts,ID,DLC,bin
35538,10299,25.136157,564,3,101000100000000000000000
33777,50959,25.136619,3B7,7,01001111000000000000000000000000111111100000000000000000
4967,51510,25.137783,217,8,1111111111111111000000110000000000000000000000000000000001100000
251,51513,25.138355,5DE,8,1000010
40009,20600,25.139343,392,6,101011010000000011100000111111111111111000000001
47006,51555,25.140747,657,3,110001001100000011000000
7732,51517,25.142659,12E,8,1100101110000000000000010111111111100000111111111111111100000000
32476,51519,25.143074,0C6,8,0111110110001010011111111110110010000000000000011011001001011010
26146,51520,25.143309,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22478,51521,25.143557,17E,8,100011111111
43322,51466,25.143745,357,6,000110010000110000001110000000000000000011110000
29155,51522,25.143803,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19423,51523,25.14404,211,8,0100011000000000111111111111111100001010000000000000000011101010
3168,51524,25.144286,242,8,0000000000000000111111111110111111111110000000000000110100000000
12855,51526,25.144736,189,8,0011001000000010110001110011110010110000110000100000000000000000
17668,51528,25.145183,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
10096,51530,25.145573,29C,8,0000000000000000000000000000000011111111111111110000000000000000
47609,51532,25.146728,41D,4,01111100111111001010010000000000
46265,51509,25.149097,68B,7,00100100011000100000101011100010000000000000000000000001
37394,51569,25.151149,218,2,11010110011000
7733,51535,25.152626,12E,8,1100101110000000000000000111111111110000111111111111111100000000
32477,51537,25.153044,0C6,8,0111110110001010100000000001010010000000000000011011010000101111
26147,51538,25.15328,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22479,51539,25.153529,17E,8,100011111111
29156,51540,25.153775,20C,8,1111100011111111111100100001000011111111111100000000000000000000
43323,25667,25.153779,357,6,000101100100000100000000000011000010011100000000
14608,51541,25.154023,29A,8,110111110010
8791,51543,25.154453,2C2,8,0000000000111011000000000000000000000000000000000000000000000000
8489,51545,25.154885,4AD,8,0000000011111111111111110000000000000000000000000000000000000000
12856,51547,25.155336,189,8,0011001000000010110001110011110010110000110000100000000000000000
17669,51549,25.155783,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
4968,51552,25.157476,217,8,1111111111111111000000110000000000000000000000000000000001100000
38249,51628,25.158861,62C,2,1110010011110000
38903,51514,25.159066,3FA,3,111000110000000000000100
40715,51624,25.159069,204,4,11000111011010001001100100000000
48213,51580,25.159087,500,6,000011010001000010010010010011010010000001100000
7734,51559,25.162627,12E,8,1100101110000000000000000111111111110000111111111111111100000000
32478,51561,25.163049,0C6,8,0111110110001010100000000000000010000000000000011011011001000001
26148,51562,25.163285,17A,8,0011001000000110010100001010101000000000001100000011001000000000
44581,20625,25.163392,41A,5,0101010101011101000000000000000001000001
22480,51563,25.163533,17E,8,100011111111
29157,51564,25.163779,20C,8,1111100011111111111100100001000011111111111100000000000000000000
43324,51501,25.163812,357,6,000110010000110000001110000000000000000011110000
19424,51565,25.164016,211,8,0100011000000000111111111111111100001010000000000000000011101011
3169,51566,25.164262,242,8,0000000000000000111111111110111111111110000000000000110100000000
40010,51502,25.164357,392,6,101000000000000000000110000000000000000000000000
10097,51568,25.164652,29C,8,0000000000000000000000000000000011111111111111110000000000000000
