,Unnamed: 0,ts,ID,DLC,bin
33043,27704,27.013603,1C4,8,0001000010100001000110110000000000000000000000000000000010011001
11191,27706,27.015386,39A,8,0000000000000000000000000000000100000000000000000000000000000000
4291,27708,27.018455,25,8,0000000000000000000000000000000101111111111111110000000010101100
24498,27709,27.019124,0AA,8,0010010101000011001001010100001100100101001111100010010100111010
29586,27711,27.028379,24,8,0000001000000001000000011110010101000010000000111000000011011010
4292,27712,27.028621,25,8,0000000000000000000000000000000101111111111111110000000010101100
24499,27714,27.029109,0AA,8,0010010100111100001001010011100000100101001101100010010100111010
9250,27715,27.02989,260,8,0000000000000000000000000000000000000000111111111010110100010110
19942,27716,27.030132,0B4,8,0000000000000000000000000000000000100100000010101001110110000111
27,27720,27.033368,3B1,8,0000000000000000000000100000101000000000000010000000000000000000
33044,27721,27.033614,1C4,8,0001000010101000000110110000000000000000000000000000000010100000
17488,27723,27.034097,226,8,0000000000000000000100000000000000000000000000000000000000000000
12189,27725,27.037571,2C1,8,0000100011111110001000001111110111011101110000000000000010001011
35838,623,27.037707,3BB,5,1101010100000000000000000000000000101110
4293,27727,27.038431,25,8,0000000000000000000000000000000101111111111111110000000010101100
24500,27728,27.0391,0AA,8,0010010100111110001001010011011000100101001100100010010100110101
15179,27729,27.039555,1C6,8,0000000000000000100000000000000111000001000101010100000000000000
863,27732,27.041089,320,8,0000000000100000000000000000000000000000000000000000000001001011
34961,27733,27.042086,4C3,8,0000001100000000000000000000000100000000000000000000000000000000
29587,27736,27.048349,24,8,0000001000000001000000011110011001000010000000001000000011011000
4294,27737,27.048592,25,8,0000000000000000000000000000000101111111111111110000000010101100
24501,27738,27.049087,0AA,8,0010010100111111001001010011001000100101001011000010010100101011
9251,27739,27.049848,260,8,0000000000000000000000000000000000000000111111111010110100010110
19943,27740,27.050101,0B4,8,0000000000000000000000000000000000101000000010101001011110000101
31460,27744,27.05346,44D,8,0100001000000010000000000000000000000001000000000000000000000000
33045,27745,27.0537,1C4,8,0001000010110011000110110000000000000000000000000000000010101011
4295,27748,27.058417,25,8,0000000000000000000000000000000101111111111111110000000010101100
24502,27749,27.059075,0AA,8,0010010101000000001001010011110100100101001100010010010100101100
17489,27753,27.062067,226,8,0000000000000000000100000000000000000000000000000000000000000000
12190,27755,27.067528,2C1,8,0000100011111110000010101111110111011010110000000000000001110010
29588,27757,27.068307,24,8,0000001000000001000000011110011001000010000000001000000011011000
4296,27758,27.068548,25,8,0000000000000000000000000000000101111111111111110000000010101100
24503,27759,27.069036,0AA,8,0010010100111011001001010011101100100101001011010010010100011010
15180,27760,27.069536,1C6,8,0000000000000000100000000000000111000100000101010100000000000000
9252,27761,27.069828,260,8,0000000000000000000000000000000000000000111111111010110100010110
19944,27762,27.070072,0B4,8,0000000000000000000000000000000000101100000010101000110001111110
16308,27765,27.073075,4C1,8,0000000100000000000000010000000100000000000000000000000000000000
33046,27766,27.073541,1C4,8,0001000010110111000110110000000000000000000000000000000010101111
4297,27770,27.078388,25,8,0000000000000000000000000000000101111111111111110000000010101100
24504,27771,27.079051,0AA,8,0010010100110100001001010011011100100101001000010010010100011001
16453,27772,27.08391,3F9,8,0111010100011000000000100000001010000000000000000000000000010101
29589,27774,27.088284,24,8,0000001000000001000000011110110101000010000000111000000011100010
4298,27775,27.088527,25,8,0000000000000000000000000000000101111111111111110000000010101100
24505,27776,27.089041,0AA,8,0010010100101101001001010011001000100101001010000010010100010110
9253,27777,27.089683,260,8,0000000000000000000000000000000000000000111111111011100000100001
19945,27778,27.090028,0B4,8,0000000000000000000000000000000000101100000010101000110001111110
33047,27782,27.093512,1C4,8,0001000010110100000110110000000000000000000000000000000010101100
17490,27784,27.094025,226,8,0000000000000000000100000000000000000000000000000000000000000000
864,27787,27.09502,320,8,0000000000100000000000000000000000000000000000000000000001001011
12191,27788,27.097506,2C1,8,0000100011111101111101001111110111100000110000000000000001100001
4299,27790,27.099386,25,8,0000000000000000000000000000000101111111111111110000000010101100
15181,27791,27.099622,1C6,8,0000000000000000100000000000000111000111000101010100000000000000
24506,27792,27.100003,0AA,8,0010010100101100001001010010110100100101001000000010010100011010
29590,27797,27.108267,24,8,0000001000000001000000011111000101000010000000111000000011100110
4300,27798,27.108509,25,8,0000000000000000000000000000000101110000000000000000000010011110
24507,27799,27.108992,0AA,8,0010010100110000001001010010111100100101000111010010010100010101
9254,27800,27.109543,260,8,0000000000000000000000000000000000000000111111111011100000100001
19946,27801,27.110005,0B4,8,0000000000000000000000000000000000110000000010101000011001111100
28050,27804,27.113293,6C0,8,1110010000000000000000001110000010000000000000000000000000000000
